,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
2912,NFLX,20140220,EPS,5,2.87,20181231,2.68
2746,NFLX,20140320,EPS,1,0.58,20141231,0.5271
2794,NFLX,20140320,EPS,2,1.06,20151231,0.25
2913,NFLX,20140320,EPS,5,2.87,20181231,2.68
2747,NFLX,20140417,EPS,1,0.59,20141231,0.5271
2795,NFLX,20140417,EPS,2,1.06,20151231,0.25
2914,NFLX,20140417,EPS,5,2.87,20181231,2.68
2748,NFLX,20140515,EPS,1,0.6,20141231,0.5271
2796,NFLX,20140515,EPS,2,0.99,20151231,0.25
2915,NFLX,20140515,EPS,5,2.58,20181231,2.68
2749,NFLX,20140619,EPS,1,0.59,20141231,0.5271
2797,NFLX,20140619,EPS,2,0.97,20151231,0.25
2916,NFLX,20140619,EPS,5,2.83,20181231,2.68
2750,NFLX,20140717,EPS,1,0.59,20141231,0.5271
2798,NFLX,20140717,EPS,2,0.97,20151231,0.25
2917,NFLX,20140717,EPS,5,2.83,20181231,2.68
2751,NFLX,20140814,EPS,1,0.55,20141231,0.5271
2799,NFLX,20140814,EPS,2,0.94,20151231,0.25
2918,NFLX,20140814,EPS,5,2.84,20181231,2.68
2752,NFLX,20140918,EPS,1,0.55,20141231,0.5271
2800,NFLX,20140918,EPS,2,0.94,20151231,0.25
2919,NFLX,20140918,EPS,5,2.84,20181231,2.68
2753,NFLX,20141016,EPS,1,0.5,20141231,0.5271
2801,NFLX,20141016,EPS,2,0.72,20151231,0.25
2920,NFLX,20141016,EPS,5,2.7,20181231,2.68
2754,NFLX,20141120,EPS,1,0.49,20141231,0.5271
2802,NFLX,20141120,EPS,2,0.69,20151231,0.25
2921,NFLX,20141120,EPS,5,2.69,20181231,2.68
2755,NFLX,20141218,EPS,1,0.49,20141231,0.5271
2803,NFLX,20141218,EPS,2,0.67,20151231,0.25
2922,NFLX,20141218,EPS,5,2.54,20181231,2.68
2756,NFLX,20150115,EPS,1,0.49,20141231,0.5271
2804,NFLX,20150115,EPS,2,0.67,20151231,0.25
2923,NFLX,20150115,EPS,5,2.54,20181231,2.68
2781,NFLX,20150219,EPS,1,0.49,20151231,0.25
2828,NFLX,20150219,EPS,2,0.8,20161231,0.43
2948,NFLX,20150219,EPS,5,3.42,20191231,4.13
2782,NFLX,20150319,EPS,1,0.48,20151231,0.25
2829,NFLX,20150319,EPS,2,0.78,20161231,0.43
2949,NFLX,20150319,EPS,5,3.42,20191231,4.13
2783,NFLX,20150416,EPS,1,0.25,20151231,0.25
2830,NFLX,20150416,EPS,2,0.52,20161231,0.43
2950,NFLX,20150416,EPS,5,3.34,20191231,4.13
2784,NFLX,20150514,EPS,1,0.22,20151231,0.25
2831,NFLX,20150514,EPS,2,0.5,20161231,0.43
2951,NFLX,20150514,EPS,5,3.38,20191231,4.13
2785,NFLX,20150618,EPS,1,0.2,20151231,0.25
2832,NFLX,20150618,EPS,2,0.49,20161231,0.43
2952,NFLX,20150618,EPS,5,3.41,20191231,4.13
2786,NFLX,20150716,EPS,1,0.22,20151231,0.25
2833,NFLX,20150716,EPS,2,0.32,20161231,0.43
2953,NFLX,20150716,EPS,5,3.64,20191231,4.13
2787,NFLX,20150820,EPS,1,0.22,20151231,0.25
2834,NFLX,20150820,EPS,2,0.3,20161231,0.43
2954,NFLX,20150820,EPS,5,3.74,20191231,4.13
2788,NFLX,20150917,EPS,1,0.22,20151231,0.25
2835,NFLX,20150917,EPS,2,0.3,20161231,0.43
2955,NFLX,20150917,EPS,5,3.74,20191231,4.13
2789,NFLX,20151015,EPS,1,0.2,20151231,0.25
2836,NFLX,20151015,EPS,2,0.29,20161231,0.43
2956,NFLX,20151015,EPS,5,3.68,20191231,4.13
2790,NFLX,20151119,EPS,1,0.2,20151231,0.25
2837,NFLX,20151119,EPS,2,0.27,20161231,0.43
2957,NFLX,20151119,EPS,5,3.72,20191231,4.13
2791,NFLX,20151217,EPS,1,0.2,20151231,0.25
2838,NFLX,20151217,EPS,2,0.26,20161231,0.43
2958,NFLX,20151217,EPS,5,3.81,20191231,4.13
2792,NFLX,20160114,EPS,1,0.21,20151231,0.25
2839,NFLX,20160114,EPS,2,0.23,20161231,0.43
2959,NFLX,20160114,EPS,5,3.78,20191231,4.13
2817,NFLX,20160218,EPS,1,0.26,20161231,0.43
2865,NFLX,20160218,EPS,2,1.07,20171231,1.25
2985,NFLX,20160218,EPS,5,5.41,20201231,6.08
2818,NFLX,20160317,EPS,1,0.27,20161231,0.43
2866,NFLX,20160317,EPS,2,1.08,20171231,1.25
2986,NFLX,20160317,EPS,5,5.41,20201231,6.08
2819,NFLX,20160414,EPS,1,0.28,20161231,0.43
2867,NFLX,20160414,EPS,2,1.1,20171231,1.25
2987,NFLX,20160414,EPS,5,5.52,20201231,6.08
2820,NFLX,20160519,EPS,1,0.28,20161231,0.43
2868,NFLX,20160519,EPS,2,1.04,20171231,1.25
2988,NFLX,20160519,EPS,5,5.35,20201231,6.08
2821,NFLX,20160616,EPS,1,0.28,20161231,0.43
2869,NFLX,20160616,EPS,2,1.03,20171231,1.25
2989,NFLX,20160616,EPS,5,5.35,20201231,6.08
2822,NFLX,20160714,EPS,1,0.27,20161231,0.43
2870,NFLX,20160714,EPS,2,1.03,20171231,1.25
2990,NFLX,20160714,EPS,5,5.3,20201231,6.08
2823,NFLX,20160818,EPS,1,0.29,20161231,0.43
2871,NFLX,20160818,EPS,2,0.88,20171231,1.25
2991,NFLX,20160818,EPS,5,4.6,20201231,6.08
2824,NFLX,20160915,EPS,1,0.29,20161231,0.43
2872,NFLX,20160915,EPS,2,0.87,20171231,1.25
2992,NFLX,20160915,EPS,5,4.46,20201231,6.08
2825,NFLX,20161020,EPS,1,0.4,20161231,0.43
2873,NFLX,20161020,EPS,2,0.95,20171231,1.25
2993,NFLX,20161020,EPS,5,4.51,20201231,6.08
2826,NFLX,20161117,EPS,1,0.4,20161231,0.43
2874,NFLX,20161117,EPS,2,0.95,20171231,1.25
2994,NFLX,20161117,EPS,5,4.74,20201231,6.08
2827,NFLX,20161215,EPS,1,0.4,20161231,0.43
2875,NFLX,20161215,EPS,2,0.97,20171231,1.25
2995,NFLX,20161215,EPS,5,4.73,20201231,6.08
2852,NFLX,20170119,EPS,1,1.05,20171231,1.25
2899,NFLX,20170119,EPS,2,1.95,20181231,2.68
3019,NFLX,20170119,EPS,5,7.29,20211231,11.24
2853,NFLX,20170216,EPS,1,1.1,20171231,1.25
